inventory code,Title,Maker,date,chart estimate type,chart standarized date,Production Place,Country (current),Continent,historic period/ polity,historical age,category,link
LAD 2013.017,"Asuka Hill in the Eastern Capital, from the series Thirty-Six Views of Mount Fuji",Utagawa Hiroshige (1797-1858),1858,specific year,1858,Japan,Japan,Asia,,modern & contemporary,print,
LAD 2013.018,"Fujimi Teahouse at Zoshigaya, from the series Thirty-Six Views of Mount Fuji",Utagawa Hiroshige (1797-1858),1858,specific year,1858,Japan,Japan,Asia,,modern & contemporary,print,
LAD 2013.019,"Yuhigaoka at Meguro in the Eastern Capital, from the series Thirty-Six Views of Mount Fuji",Utagawa Hiroshige (1797-1858),1858,specific year,1858,Japan,Japan,Asia,,modern & contemporary,print,
LAD 2013.020,"The Tone River at Kōnodai, from the series Thirty-Six Views of Mount Fuji",Utagawa Hiroshige (1797-1858),1858,specific year,1858,Japan,Japan,Asia,,modern & contemporary,print,
LAD 2013.021,"Koganei in Musashi Province, from the series Thirty-Six Views of Mount Fuji",Utagawa Hiroshige (1797-1858),1858,specific year,1858,Japan,Japan,Asia,,modern & contemporary,print,
LAD 2013.022,"The Jewel River in Musashi Province, from the series Thirty-Six Views of Mount Fuji",Utagawa Hiroshige (1797-1858),1858,specific year,1858,Japan,Japan,Asia,,modern & contemporary,print,
LAD 2013.023,"The Outskirts of Koshigaya in Musashi Province, from the series Thirty-Six Views of Mount Fuji",Utagawa Hiroshige (1797-1858),1858,specific year,1858,Japan,Japan,Asia,,modern & contemporary,print,
LAD 2013.024,"Yokohama at Noge in Musashi Province, from the series Thirty-Six Views of Mount Fuji",Utagawa Hiroshige (1797-1858),1858,specific year,1858,Japan,Japan,Asia,,modern & contemporary,print,
LAD 2013.025,"Honmoku Point in Musashi Province, from the series Thirty-Six Views of Mount Fuji",Utagawa Hiroshige (1797-1858),1858,specific year,1858,Japan,Japan,Asia,,modern & contemporary,print,
LAD 2013.026,"The Sea at Miura in Sagami Province, from the series Thirty-Six Views of Mount Fuji",Utagawa Hiroshige (1797-1858),1858,specific year,1858,Japan,Japan,Asia,,modern & contemporary,print,
LAD 2013.027,"The Sagami River, from the series Thirty-Six Views of Mount Fuji",Utagawa Hiroshige (1797-1858),1858,specific year,1858,Japan,Japan,Asia,,modern & contemporary,print,
LAD 2013.028,"Seven-Mile Beach in Sagami Province, from the series Thirty-Six Views of Mount Fuji",Utagawa Hiroshige (1797-1858),1858,specific year,1858,Japan,Japan,Asia,,modern & contemporary,print,
LAD 2013.029,"Entrance to Enoshima in Sagami Province, from the series Thirty-Six Views of Mount Fuji",Utagawa Hiroshige (1797-1858),1858,specific year,1858,Japan,Japan,Asia,,modern & contemporary,print,
LAD 2013.030,"Lake at Hakone, from the series Thirty-Six Views of Mount Fuji",Utagawa Hiroshige (1797-1858),1858,specific year,1858,Japan,Japan,Asia,,modern & contemporary,print,
LAD 2013.031,"In the Mountains of Izu Province, from the series Thirty-Six Views of Mount Fuji",Utagawa Hiroshige (1797-1858),1858,specific year,1858,Japan,Japan,Asia,,modern & contemporary,print,
LAD 2013.032,"The Sea Off Satta in Suruga Province, from the series Thirty-Six Views of Mount Fuji",Utagawa Hiroshige (1797-1858),1858,specific year,1858,Japan,Japan,Asia,,modern & contemporary,print,
LAD 2013.033,"Pine Beach at Miho in Suruga Province, from the series Thirty-Six Views of Mount Fuji",Utagawa Hiroshige (1797-1858),1858,specific year,1858,Japan,Japan,Asia,,modern & contemporary,print,
LAD 2013.034,"Fuji Seen from the Left on the Tokaido Road, from the series Thirty-Six Views of Mount Fuji",Utagawa Hiroshige (1797-1858),1858,specific year,1858,Japan,Japan,Asia,,modern & contemporary,print,
LAD 2013.035,"The Oi River between Suruga and Totomi Provinces, from the series Thirty-Six Views of Mount Fuji",Utagawa Hiroshige (1797-1858),1858,specific year,1858,Japan,Japan,Asia,,modern & contemporary,print,
LAD 2013.036,"Futami Bay in Ise Province, from the series Thirty-Six Views of Mount Fuji",Utagawa Hiroshige (1797-1858),1858,specific year,1858,Japan,Japan,Asia,,modern & contemporary,print,
LAD 2013.037,"Lake Suwa in Shinano Province, from the series Thirty-Six Views of Mount Fuji",Utagawa Hiroshige (1797-1858),1858,specific year,1858,Japan,Japan,Asia,,modern & contemporary,print,
LAD 2013.038,"Shiojiri Pass in Shinano Province, from the series Thirty-Six Views of Mount Fuji",Utagawa Hiroshige (1797-1858),1858,specific year,1858,Japan,Japan,Asia,,modern & contemporary,print,
LAD 2013.039,"Misaka Pass in Kai Province, from the series Thirty-Six Views of Mount Fuji",Utagawa Hiroshige (1797-1858),1858,specific year,1858,Japan,Japan,Asia,,modern & contemporary,print,
LAD 2013.040,"The Otsuki Plain in Kai Province, from the series Thirty-Six Views of Mount Fuji",Utagawa Hiroshige (1797-1858),1858,specific year,1858,Japan,Japan,Asia,,modern & contemporary,print,
LAD 2013.041,"Inume Pass in Kai Province, from the series Thirty-Six Views of Mount Fuji",Utagawa Hiroshige (1797-1858),1858,specific year,1858,Japan,Japan,Asia,,modern & contemporary,print,
LAD 2013.042,"Kogane Plain in Shimosa Province, from the series Thirty-Six Views of Mount Fuji",Utagawa Hiroshige (1797-1858),1858,specific year,1858,Japan,Japan,Asia,,modern & contemporary,print,
LAD 2013.043,"Kurodo Bay in Kazusa Province, from the series Thirty-Six Views of Mount Fuji",Utagawa Hiroshige (1797-1858),1858,specific year,1858,Japan,Japan,Asia,,modern & contemporary,print,
LAD 2013.044,"Rokusozan in Kazusa Province, from the series Thirty-Six Views of Mount Fuji",Utagawa Hiroshige (1797-1858),1858,specific year,1858,Japan,Japan,Asia,,modern & contemporary,print,
LAD 2013.045,"The Seashore at Hoda in Awa Province, from the series Thirty-Six Views of Mount Fuji",Utagawa Hiroshige (1797-1858),1858,specific year,1858,Japan,Japan,Asia,,modern & contemporary,print,
LAD 2011.154,"Kalaat el-Hosn, General View (from the Album “Journey in the East”)",Louis De Clercq (1836-1901),ca. 1859-1860,year range,1859,Syria,Syria,Asia,,modern & contemporary,books,
LAD 2011.116,Incidences in Village Life,anonymous,ca. 1860,specific year,1860,"Punjab, India",India,Asia,,modern & contemporary,,
LAD 2011.115,Sir Hugh Rose,anonymous,1861,specific year,1861,India,India,Asia,,modern & contemporary,,
